Defectors,Cooperators,%Defectors,%Cooperators,Avg Fit,Max Fit
1530,470,76.5,23.5,0.16032835604470388,0.42105263157894757
1540,460,77.0,23.0,0.16089171932364327,0.423105590062112
1535,465,76.75,23.25,0.16148923131619963,0.42660098522167506
1548,452,77.4,22.6,0.162280345615852,0.42857142857142877
1561,439,78.05,21.95,0.16273115313587078,0.4305084745762714
1587,413,79.35,20.65,0.16306071438980033,0.43241296518607464
1594,406,79.7,20.3,0.1633725307546056,0.4328571428571431
1596,404,79.80000000000001,20.200000000000003,0.16383090724970553,0.43471074380165314
1607,393,80.35,19.650000000000002,0.1642183857594894,0.43653395784543353
1616,384,80.80000000000001,19.2,0.16437989969780414,0.43832752613240444
1610,390,80.5,19.5,0.16463213118314302,0.4359447004608298
1608,392,80.4,19.6,0.16498637310824504,0.4349714285714289
